ID,Category
0,Leeche_Raw
1,Orange_Raw
2,Pomengranate_Ripe
3,Strawberry_Raw
4,Orange_Ripe
5,Banana_Ripe
6,Orange_Ripe
7,Apple_Ripe
8,Coconut_Raw
9,Coconut_Ripe
10,Strawberry_Ripe
11,Banana_Ripe
12,Mango_Raw
13,Papaya_Ripe
14,Guava_Ripe
15,Leeche_Ripe
16,Orange_Raw
17,Banana_Raw
18,Mango_Ripe
19,Orange_Raw
20,Guava_Raw
21,Banana_Ripe
22,Orange_Ripe
23,Pomengranate_Raw
24,Orange_Raw
25,Strawberry_Ripe
26,Apple_Raw
27,Orange_Ripe
28,Coconut_Ripe
29,Orange_Ripe
30,Banana_Ripe
31,Apple_Ripe
32,Papaya_Raw
33,Banana_Raw
34,Coconut_Raw
35,Coconut_Raw
36,Apple_Ripe
37,Orange_Raw
38,Orange_Raw
39,Pomengranate_Ripe
40,Guava_Raw
41,Papaya_Raw
42,Leeche_Raw
43,Papaya_Ripe
44,Leeche_Raw
45,Apple_Ripe
46,Leeche_Raw
47,Orange_Raw
48,Banana_Ripe
49,Mango_Ripe
50,Papaya_Raw
51,Mango_Ripe
52,Mango_Raw
53,Mango_Ripe
54,Apple_Ripe
55,Leeche_Ripe
56,Papaya_Ripe
57,Mango_Raw
58,Coconut_Raw
59,Strawberry_Ripe
60,Banana_Ripe
61,Guava_Raw
62,Apple_Raw
63,Pomengranate_Raw
64,Strawberry_Raw
65,Apple_Raw
66,Mango_Raw
67,Guava_Raw
68,Guava_Raw
69,Pomengranate_Raw
70,Guava_Raw
71,Strawberry_Raw
72,Coconut_Raw
73,Papaya_Ripe
74,Coconut_Raw
75,Guava_Ripe
76,Coconut_Ripe
77,Papaya_Ripe
78,Banana_Raw
79,Papaya_Raw
80,Papaya_Raw
81,Orange_Ripe
82,Apple_Ripe
83,Coconut_Ripe
84,Guava_Raw
85,Banana_Ripe
86,Mango_Raw
87,Papaya_Ripe
88,Banana_Ripe
89,Orange_Raw
90,Pomengranate_Raw
91,Papaya_Ripe
92,Pomengranate_Raw
93,Apple_Ripe
94,Mango_Ripe
95,Apple_Raw
96,Leeche_Raw
97,Apple_Raw
98,Banana_Ripe
99,Pomengranate_Raw
100,Papaya_Ripe
101,Orange_Ripe
102,Pomengranate_Raw
103,Coconut_Ripe
104,Orange_Ripe
105,Apple_Ripe
106,Apple_Raw
107,Papaya_Ripe
108,Apple_Ripe
109,Strawberry_Ripe
110,Coconut_Raw
111,Strawberry_Raw
112,Strawberry_Raw
113,Papaya_Ripe
114,Mango_Ripe
115,Papaya_Ripe
116,Strawberry_Raw
117,Coconut_Ripe
118,Apple_Ripe
119,Guava_Raw
120,Apple_Ripe
121,Papaya_Ripe
122,Coconut_Ripe
123,Apple_Raw
124,Orange_Raw
125,Orange_Ripe
126,Orange_Ripe
127,Apple_Ripe
128,Apple_Raw
129,Strawberry_Ripe
130,Coconut_Ripe
131,Orange_Raw
132,Strawberry_Raw
133,Papaya_Raw
134,Strawberry_Raw
135,Orange_Ripe
136,Banana_Ripe
137,Coconut_Raw
138,Mango_Ripe
139,Apple_Ripe
140,Coconut_Raw
141,Mango_Raw
142,Coconut_Raw
143,Orange_Raw
144,Strawberry_Raw
145,Guava_Raw
146,Pomengranate_Raw
147,Banana_Ripe
148,Pomengranate_Ripe
149,Strawberry_Raw
150,Mango_Ripe
151,Leeche_Raw
152,Strawberry_Ripe
153,Pomengranate_Ripe
154,Mango_Raw
155,Pomengranate_Raw
156,Strawberry_Ripe
157,Orange_Ripe
158,Orange_Ripe
159,Strawberry_Raw
160,Coconut_Ripe
161,Banana_Ripe
162,Leeche_Ripe
163,Banana_Ripe
164,Mango_Raw
165,Mango_Ripe
166,Papaya_Ripe
167,Apple_Raw
168,Apple_Raw
169,Orange_Raw
170,Banana_Raw
171,Leeche_Ripe
172,Apple_Ripe
173,Papaya_Ripe
174,Guava_Ripe
175,Apple_Raw
176,Pomengranate_Ripe
177,Coconut_Raw
178,Pomengranate_Raw
179,Strawberry_Raw
180,Banana_Ripe
181,Coconut_Raw
182,Banana_Raw
183,Papaya_Raw
184,Leeche_Ripe
185,Banana_Ripe
186,Banana_Ripe
187,Leeche_Ripe
188,Coconut_Raw
189,Mango_Ripe
190,Guava_Ripe
191,Mango_Ripe
192,Coconut_Raw
193,Apple_Ripe
194,Orange_Raw
195,Banana_Raw
196,Apple_Ripe
197,Banana_Raw
198,Papaya_Raw
199,Strawberry_Ripe
200,Strawberry_Ripe
201,Apple_Raw
202,Leeche_Ripe
203,Mango_Ripe
204,Guava_Raw
205,Banana_Raw
